: Profit: 26567.09543363601, Ticker: None, Trades: (68, 33, 35), Drawdown: -4.746441622, Stops: 38, Costs: 373.73456636399993 40, 60, 0.3, 3.0, 8, 10, 12, 0.1, False
: Profit: 26530.692986783997, Ticker: None, Trades: (62, 32, 30), Drawdown: -4.773936507, Stops: 35, Costs: 336.91701321599993 40, 60, 0.3, 3.0, 8, 15, 12, 0.3, False
: Profit: 26476.62988040901, Ticker: None, Trades: (82, 41, 41), Drawdown: -4.746441622, Stops: 45, Costs: 439.9901195909998 40, 100, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 26469.977260878986, Ticker: None, Trades: (71, 36, 35), Drawdown: -1068.7029349830018, Stops: 39, Costs: 385.6727391209999 80, 40, 0.2, 3.0, 8, 15, 12, 0.1, False
: Profit: 26451.232551694015, Ticker: None, Trades: (82, 41, 41), Drawdown: -4.746441622, Stops: 45, Costs: 439.9674483059999 40, 100, 0.2, 3.0, 8, 10, 12, -0.1, False
: Profit: 26437.395481096977, Ticker: None, Trades: (80, 38, 42), Drawdown: -664.913643951005, Stops: 47, Costs: 426.784518903 60, 80, 0.3, 2.5, 8, 15, 12, -0.1, False
: Profit: 26384.586538349995, Ticker: None, Trades: (69, 37, 32), Drawdown: -982.0055043629997, Stops: 38, Costs: 372.44346164999985 60, 60, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 26344.777150111997, Ticker: None, Trades: (72, 38, 34), Drawdown: -1410.7782970730009, Stops: 39, Costs: 389.6428498879999 80, 80, 0.2, 3.0, 8, 10, 12, -0.1, False
: Profit: 26324.026527460996, Ticker: None, Trades: (72, 38, 34), Drawdown: -1410.7782970730009, Stops: 39, Costs: 389.6634725389999 80, 80, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 26242.123385191993, Ticker: None, Trades: (66, 32, 34), Drawdown: -4.746441622, Stops: 38, Costs: 363.386614808 80, 60, 0.2, 3.0, 8, 10, 12, -0.1, False
: Profit: 26078.193037677003, Ticker: None, Trades: (73, 34, 39), Drawdown: -4.746441622, Stops: 40, Costs: 399.35696232299995 40, 80, 0.2, 3.0, 8, 10, 12, 0.1, False
: Profit: 26006.758832513984, Ticker: None, Trades: (72, 36, 36), Drawdown: -1068.7029349830018, Stops: 40, Costs: 391.46116748599997 80, 40, 0.2, 3.0, 8, 10, 12, 0.1, False
: Profit: 25988.146071650997, Ticker: None, Trades: (63, 32, 31), Drawdown: -4.773936507, Stops: 36, Costs: 342.66392834899995 40, 60, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 25914.679044076995, Ticker: None, Trades: (65, 27, 38), Drawdown: -4.746441622, Stops: 40, Costs: 348.58095592300015 40, 100, 0.3, 2.5, 8, 15, 12, 0.3, False
: Profit: 25888.680924165983, Ticker: None, Trades: (76, 35, 41), Drawdown: -4.746441622, Stops: 46, Costs: 412.059075834 40, 100, 0.3, 2.5, 8, 10, 12, 0.1, False
: Profit: 25871.230391916997, Ticker: None, Trades: (64, 30, 34), Drawdown: -4.746441622, Stops: 37, Costs: 359.34960808299996 40, 80, 0.2, 3.0, 8, 15, 12, 0.3, False
: Profit: 25851.566550049978, Ticker: None, Trades: (77, 36, 41), Drawdown: -245.5756358570037, Stops: 46, Costs: 415.63344994999994 40, 100, 0.2, 2.5, 8, 10, 12, 0.1, False
: Profit: 25782.823361396986, Ticker: None, Trades: (61, 29, 32), Drawdown: -1341.2981760780012, Stops: 39, Costs: 330.45663860300004 80, 100, 0.3, 2.5, 8, 15, 12, 0.3, False
: Profit: 25612.395886491002, Ticker: None, Trades: (102, 53, 49), Drawdown: -4.7340520349999995, Stops: 47, Costs: 555.844113509 40, 80, 0.3, 3.0, 8, 10, 8, 0.1, False
: Profit: 25608.765537114992, Ticker: None, Trades: (72, 36, 36), Drawdown: -4.746441622, Stops: 38, Costs: 393.6544628849999 40, 80, 0.2, 3.0, 8, 25, 12, -0.1, False
: Profit: 25566.456607700995, Ticker: None, Trades: (61, 29, 32), Drawdown: -1341.2981760780012, Stops: 39, Costs: 330.41339229900007 80, 100, 0.3, 2.5, 8, 10, 12, 0.3, False
: Profit: 25508.847490008975, Ticker: None, Trades: (72, 36, 36), Drawdown: -2905.508023138002, Stops: 47, Costs: 378.282509991 80, 100, 0.2, 2.0, 8, 15, 12, 0.1, False
: Profit: 25442.163796416982, Ticker: None, Trades: (78, 37, 41), Drawdown: -245.5756358570037, Stops: 47, Costs: 423.196203583 40, 100, 0.2, 2.5, 8, 15, 12, 0.1, False
: Profit: 25395.04867327, Ticker: None, Trades: (72, 35, 37), Drawdown: -4.746441622, Stops: 38, Costs: 391.69132672999996 60, 80, 0.2, 3.0, 8, 25, 12, -0.1, False
: Profit: 25328.683476783997, Ticker: None, Trades: (65, 30, 35), Drawdown: -4.746441622, Stops: 38, Costs: 365.096523216 40, 80, 0.2, 3.0, 8, 10, 12, 0.3, False
: Profit: 25311.211830244978, Ticker: None, Trades: (76, 40, 36), Drawdown: -3569.4152476140057, Stops: 49, Costs: 397.0681697549999 80, 100, 0.3, 2.0, 8, 10, 12, 0.1, False
: Profit: 25265.158820959987, Ticker: None, Trades: (73, 37, 36), Drawdown: -3507.960071756005, Stops: 46, Costs: 382.9711790399999 80, 100, 0.3, 2.0, 8, 25, 12, 0.1, False
: Profit: 25156.272966061006, Ticker: None, Trades: (79, 37, 42), Drawdown: -4.746441622, Stops: 40, Costs: 424.76703393899993 40, 100, 0.3, 3.0, 8, 25, 12, -0.1, False
: Profit: 25130.837080075977, Ticker: None, Trades: (78, 38, 40), Drawdown: -950.5872042540008, Stops: 46, Costs: 416.92291992400004 60, 80, 0.3, 2.5, 8, 25, 12, -0.1, False
: Profit: 25084.893751099993, Ticker: None, Trades: (77, 41, 36), Drawdown: -1108.4845350060002, Stops: 42, Costs: 415.97624889999986 60, 40, 0.3, 3.0, 8, 10, 12, -0.1, False
: Profit: 25073.17483257799, Ticker: None, Trades: (77, 41, 36), Drawdown: -1108.4845350060002, Stops: 41, Costs: 418.1651674219998 80, 40, 0.3, 3.0, 8, 15, 12, -0.1, False
: Profit: 25073.15483257799, Ticker: None, Trades: (77, 41, 36), Drawdown: -1108.4845350060002, Stops: 41, Costs: 418.18516742199984 80, 40, 0.3, 3.0, 8, 10, 12, -0.1, False
: Profit: 25024.892756425998, Ticker: None, Trades: (71, 37, 34), Drawdown: -982.0055043629997, Stops: 40, Costs: 384.50724357399986 60, 60, 0.3, 3.0, 8, 15, 12, -0.1, False
: Profit: 24955.454006721007, Ticker: None, Trades: (53, 30, 23), Drawdown: -2538.1310459739966, Stops: 31, Costs: 290.5159932789999 60, 100, 0.2, 3.0, 8, 25, 12, 0.3, False
: Profit: 24869.64518085899, Ticker: None, Trades: (64, 35, 29), Drawdown: -3491.5882518049984, Stops: 44, Costs: 342.85481914099995 80, 100, 0.2, 2.0, 8, 10, 12, 0.3, False
: Profit: 24763.669116408008, Ticker: None, Trades: (100, 55, 45), Drawdown: -4.7340520349999995, Stops: 46, Costs: 545.340883592 40, 80, 0.3, 3.0, 8, 25, 8, 0.1, False
: Profit: 24651.87487265201, Ticker: None, Trades: (102, 55, 47), Drawdown: -4.7340520349999995, Stops: 47, Costs: 555.145127348 40, 80, 0.3, 3.0, 8, 15, 8, 0.1, False
: Profit: 24629.743286786004, Ticker: None, Trades: (101, 52, 49), Drawdown: -4.7340520349999995, Stops: 47, Costs: 549.2067132139999 40, 80, 0.2, 3.0, 8, 10, 8, 0.1, False
: Profit: 24501.939365415994, Ticker: None, Trades: (62, 32, 30), Drawdown: -3430.1330759469984, Stops: 42, Costs: 334.51063458399994 80, 100, 0.2, 2.0, 8, 25, 12, 0.3, False
: Profit: 24373.556881009004, Ticker: None, Trades: (72, 39, 33), Drawdown: -1459.395641817999, Stops: 39, Costs: 388.21311899099993 80, 80, 0.3, 3.0, 8, 25, 12, -0.1, False
: Profit: 24225.737976288005, Ticker: None, Trades: (65, 31, 34), Drawdown: -4.773936507, Stops: 38, Costs: 352.51202371199986 40, 60, 0.2, 3.0, 8, 15, 12, 0.3, False
: Profit: 24058.418898887987, Ticker: None, Trades: (71, 36, 35), Drawdown: -4.773936507, Stops: 43, Costs: 386.1811011120001 60, 40, 0.3, 2.5, 8, 10, 12, 0.3, False
