: Profit: 22615.624305390014, Ticker: None, Trades: (30, 12, 18), Drawdown: -1805.1642362120003, Stops: 24, Costs: 127.33569461 9, 5, 0.1, 2.0, 8, 5, 12, -1, True
: Profit: 22570.97168220099, Ticker: None, Trades: (47, 28, 19), Drawdown: -1528.8855183199998, Stops: 36, Costs: 182.29831779900005 60, 60, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22570.97168220099, Ticker: None, Trades: (47, 28, 19), Drawdown: -1528.8855183199998, Stops: 36, Costs: 182.29831779900005 60, 60, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22570.97168220099, Ticker: None, Trades: (47, 28, 19), Drawdown: -1528.8855183199998, Stops: 36, Costs: 182.29831779900005 60, 60, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22530.643957544995, Ticker: None, Trades: (47, 28, 19), Drawdown: -1533.6955183199998, Stops: 36, Costs: 182.29604245500005 60, 60, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22530.643957544995, Ticker: None, Trades: (47, 28, 19), Drawdown: -1533.6955183199998, Stops: 36, Costs: 182.29604245500005 60, 60, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22530.643957544995, Ticker: None, Trades: (47, 28, 19), Drawdown: -1533.6955183199998, Stops: 36, Costs: 182.29604245500005 60, 60, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22424.15868122002, Ticker: None, Trades: (68, 31, 37), Drawdown: -1142.461350522999, Stops: 61, Costs: 275.50131877999996 9, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 22424.15868122002, Ticker: None, Trades: (68, 31, 37), Drawdown: -1142.461350522999, Stops: 61, Costs: 275.50131877999996 9, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 22424.15868122002, Ticker: None, Trades: (68, 31, 37), Drawdown: -1142.461350522999, Stops: 61, Costs: 275.50131877999996 9, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 22424.15868122002, Ticker: None, Trades: (68, 31, 37), Drawdown: -1142.461350522999, Stops: 61, Costs: 275.50131877999996 9, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 22424.15868122002, Ticker: None, Trades: (68, 31, 37), Drawdown: -1142.461350522999, Stops: 61, Costs: 275.50131877999996 9, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 22424.15868122002, Ticker: None, Trades: (68, 31, 37), Drawdown: -1142.461350522999, Stops: 61, Costs: 275.50131877999996 9, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 22329.105990439988, Ticker: None, Trades: (49, 28, 21), Drawdown: -475.29775703299947, Stops: 36, Costs: 202.45400956000012 40, 60, 0.2, 3.0, 8, 15, 12, -1, True
: Profit: 22329.105990439988, Ticker: None, Trades: (49, 28, 21), Drawdown: -475.29775703299947, Stops: 36, Costs: 202.45400956000012 40, 60, 0.2, 3.0, 8, 15, 12, -1, True
: Profit: 22329.105990439988, Ticker: None, Trades: (49, 28, 21), Drawdown: -475.29775703299947, Stops: 36, Costs: 202.45400956000012 40, 60, 0.2, 3.0, 8, 15, 12, -1, True
: Profit: 22319.64599043999, Ticker: None, Trades: (49, 28, 21), Drawdown: -475.29775703299947, Stops: 36, Costs: 202.45400956000012 40, 60, 0.2, 3.0, 8, 10, 12, -1, True
: Profit: 22319.64599043999, Ticker: None, Trades: (49, 28, 21), Drawdown: -475.29775703299947, Stops: 36, Costs: 202.45400956000012 40, 60, 0.2, 3.0, 8, 10, 12, -1, True
: Profit: 22319.64599043999, Ticker: None, Trades: (49, 28, 21), Drawdown: -475.29775703299947, Stops: 36, Costs: 202.45400956000012 40, 60, 0.2, 3.0, 8, 10, 12, -1, True
: Profit: 22307.988109164988, Ticker: None, Trades: (47, 25, 22), Drawdown: -401.4994470530013, Stops: 37, Costs: 189.24189083500005 40, 60, 0.3, 2.5, 8, 25, 12, -1, True
: Profit: 22307.988109164988, Ticker: None, Trades: (47, 25, 22), Drawdown: -401.4994470530013, Stops: 37, Costs: 189.24189083500005 40, 60, 0.3, 2.5, 8, 25, 12, -1, True
: Profit: 22307.988109164988, Ticker: None, Trades: (47, 25, 22), Drawdown: -401.4994470530013, Stops: 37, Costs: 189.24189083500005 40, 60, 0.3, 2.5, 8, 25, 12, -1, True
: Profit: 22300.862392965995, Ticker: None, Trades: (40, 23, 17), Drawdown: -1943.0250018970019, Stops: 31, Costs: 155.04760703400004 40, 80, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 22300.862392965995, Ticker: None, Trades: (40, 23, 17), Drawdown: -1943.0250018970019, Stops: 31, Costs: 155.04760703400004 40, 80, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 22300.862392965995, Ticker: None, Trades: (40, 23, 17), Drawdown: -1943.0250018970019, Stops: 31, Costs: 155.04760703400004 40, 80, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 22275.466803047995, Ticker: None, Trades: (40, 23, 17), Drawdown: -1968.4205918150024, Stops: 31, Costs: 155.00319695200002 40, 80, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 22275.466803047995, Ticker: None, Trades: (40, 23, 17), Drawdown: -1968.4205918150024, Stops: 31, Costs: 155.00319695200002 40, 80, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 22275.466803047995, Ticker: None, Trades: (40, 23, 17), Drawdown: -1968.4205918150024, Stops: 31, Costs: 155.00319695200002 40, 80, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 22192.50325047099, Ticker: None, Trades: (38, 21, 17), Drawdown: -1617.1825486479997, Stops: 31, Costs: 146.996749529 40, 80, 0.3, 2.0, 12, 25, 12, -1, True
: Profit: 22192.50325047099, Ticker: None, Trades: (38, 21, 17), Drawdown: -1617.1825486479997, Stops: 31, Costs: 146.996749529 40, 80, 0.3, 2.0, 12, 25, 12, -1, True
: Profit: 22192.50325047099, Ticker: None, Trades: (38, 21, 17), Drawdown: -1617.1825486479997, Stops: 31, Costs: 146.996749529 40, 80, 0.3, 2.0, 12, 25, 12, -1, True
: Profit: 22162.983452576, Ticker: None, Trades: (44, 27, 17), Drawdown: -1943.0250018970019, Stops: 33, Costs: 172.006547424 60, 60, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 22162.983452576, Ticker: None, Trades: (44, 27, 17), Drawdown: -1943.0250018970019, Stops: 33, Costs: 172.006547424 60, 60, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 22162.983452576, Ticker: None, Trades: (44, 27, 17), Drawdown: -1943.0250018970019, Stops: 33, Costs: 172.006547424 60, 60, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 22148.663777087997, Ticker: None, Trades: (19, 9, 10), Drawdown: -2270.4173717080002, Stops: 16, Costs: 79.69622291200002 12, 5, 0.1, 2.0, 12, 15, 12, -1, True
: Profit: 22148.663777087997, Ticker: None, Trades: (19, 9, 10), Drawdown: -2270.4173717080002, Stops: 16, Costs: 79.69622291200002 12, 5, 0.1, 2.0, 12, 15, 12, -1, True
: Profit: 22148.663777087997, Ticker: None, Trades: (19, 9, 10), Drawdown: -2270.4173717080002, Stops: 16, Costs: 79.69622291200002 12, 5, 0.1, 2.0, 12, 15, 12, -1, True
: Profit: 22147.677207489993, Ticker: None, Trades: (40, 23, 17), Drawdown: -2096.210187373001, Stops: 31, Costs: 155.05279251000002 40, 80, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 22147.677207489993, Ticker: None, Trades: (40, 23, 17), Drawdown: -2096.210187373001, Stops: 31, Costs: 155.05279251000002 40, 80, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 22147.677207489993, Ticker: None, Trades: (40, 23, 17), Drawdown: -2096.210187373001, Stops: 31, Costs: 155.05279251000002 40, 80, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 22137.587862658, Ticker: None, Trades: (44, 27, 17), Drawdown: -1968.4205918150024, Stops: 33, Costs: 171.96213734199998 60, 60, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 22137.587862658, Ticker: None, Trades: (44, 27, 17), Drawdown: -1968.4205918150024, Stops: 33, Costs: 171.96213734199998 60, 60, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 22137.587862658, Ticker: None, Trades: (44, 27, 17), Drawdown: -1968.4205918150024, Stops: 33, Costs: 171.96213734199998 60, 60, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 22055.729111510987, Ticker: None, Trades: (48, 29, 19), Drawdown: -1955.1481435400028, Stops: 37, Costs: 186.13088848900006 40, 60, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22055.729111510987, Ticker: None, Trades: (48, 29, 19), Drawdown: -1955.1481435400028, Stops: 37, Costs: 186.13088848900006 40, 60, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22055.729111510987, Ticker: None, Trades: (48, 29, 19), Drawdown: -1955.1481435400028, Stops: 37, Costs: 186.13088848900006 40, 60, 0.2, 2.0, 12, 10, 12, -1, True
: Profit: 22050.209138500013, Ticker: None, Trades: (27, 10, 17), Drawdown: -2385.3794031019997, Stops: 22, Costs: 116.7708615 12, 5, 0.1, 2.0, 8, 5, 12, -1, True
: Profit: 22050.209138500013, Ticker: None, Trades: (27, 10, 17), Drawdown: -2385.3794031019997, Stops: 22, Costs: 116.7708615 12, 5, 0.1, 2.0, 8, 5, 12, -1, True
: Profit: 22050.209138500013, Ticker: None, Trades: (27, 10, 17), Drawdown: -2385.3794031019997, Stops: 22, Costs: 116.7708615 12, 5, 0.1, 2.0, 8, 5, 12, -1, True
: Profit: 22020.21138685499, Ticker: None, Trades: (48, 29, 19), Drawdown: -1955.1481435400028, Stops: 37, Costs: 186.128613145 40, 60, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22020.21138685499, Ticker: None, Trades: (48, 29, 19), Drawdown: -1955.1481435400028, Stops: 37, Costs: 186.128613145 40, 60, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22020.21138685499, Ticker: None, Trades: (48, 29, 19), Drawdown: -1955.1481435400028, Stops: 37, Costs: 186.128613145 40, 60, 0.2, 2.0, 12, 15, 12, -1, True
: Profit: 22009.7982671, Ticker: None, Trades: (44, 27, 17), Drawdown: -2096.210187373001, Stops: 33, Costs: 172.0117329 60, 60, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 22009.7982671, Ticker: None, Trades: (44, 27, 17), Drawdown: -2096.210187373001, Stops: 33, Costs: 172.0117329 60, 60, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 22009.7982671, Ticker: None, Trades: (44, 27, 17), Drawdown: -2096.210187373001, Stops: 33, Costs: 172.0117329 60, 60, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 21984.969039086995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2062.560168366002, Stops: 33, Costs: 172.060960913 40, 60, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 21984.969039086995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2062.560168366002, Stops: 33, Costs: 172.060960913 40, 60, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 21984.969039086995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2062.560168366002, Stops: 33, Costs: 172.060960913 40, 60, 0.2, 2.5, 12, 15, 12, -1, True
: Profit: 21982.156829077998, Ticker: None, Trades: (40, 22, 18), Drawdown: -6140.358825590001, Stops: 36, Costs: 154.363170922 12, 5, 0.1, 1.5, 12, 10, 12, -1, True
: Profit: 21982.156829077998, Ticker: None, Trades: (40, 22, 18), Drawdown: -6140.358825590001, Stops: 36, Costs: 154.363170922 12, 5, 0.1, 1.5, 12, 10, 12, -1, True
: Profit: 21982.156829077998, Ticker: None, Trades: (40, 22, 18), Drawdown: -6140.358825590001, Stops: 36, Costs: 154.363170922 12, 5, 0.1, 1.5, 12, 10, 12, -1, True
: Profit: 21975.720479496995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2071.808727956002, Stops: 33, Costs: 172.05952050300002 40, 60, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 21975.720479496995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2071.808727956002, Stops: 33, Costs: 172.05952050300002 40, 60, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 21975.720479496995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2071.808727956002, Stops: 33, Costs: 172.05952050300002 40, 60, 0.2, 2.5, 12, 10, 12, -1, True
: Profit: 21959.573449168995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2087.9557582840025, Stops: 33, Costs: 172.016550831 40, 60, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 21959.573449168995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2087.9557582840025, Stops: 33, Costs: 172.016550831 40, 60, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 21959.573449168995, Ticker: None, Trades: (44, 27, 17), Drawdown: -2087.9557582840025, Stops: 33, Costs: 172.016550831 40, 60, 0.2, 2.5, 12, 25, 12, -1, True
: Profit: 21849.424062591992, Ticker: None, Trades: (59, 28, 31), Drawdown: -1803.6423483110016, Stops: 53, Costs: 232.10593740800005 12, 8, 0.1, 2.0, 4, 15, 12, -1, True
: Profit: 21849.424062591992, Ticker: None, Trades: (59, 28, 31), Drawdown: -1803.6423483110016, Stops: 53, Costs: 232.10593740800005 12, 8, 0.1, 2.0, 4, 15, 12, -1, True
: Profit: 21849.424062591992, Ticker: None, Trades: (59, 28, 31), Drawdown: -1803.6423483110016, Stops: 53, Costs: 232.10593740800005 12, 8, 0.1, 2.0, 4, 15, 12, -1, True
: Profit: 21849.424062591992, Ticker: None, Trades: (59, 28, 31), Drawdown: -1803.6423483110016, Stops: 53, Costs: 232.10593740800005 12, 8, 0.2, 2.0, 4, 15, 12, -1, True
: Profit: 21849.424062591992, Ticker: None, Trades: (59, 28, 31), Drawdown: -1803.6423483110016, Stops: 53, Costs: 232.10593740800005 12, 8, 0.2, 2.0, 4, 15, 12, -1, True
